MatchHistory,TeamColor,ban_1,ban_2,ban_3,ban_4,ban_5
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001090009?gameHash=b89b17c8ee1630d8,Blue,LeeSin,Sejuani,Karthus,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001090016?gameHash=d4307d5d69dea1fe,Blue,Rumble,Zed,Nidalee,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001090024?gameHash=23ee9058c5c4946d,Blue,Morgana,Hecarim,Sejuani,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001090037?gameHash=6aa9ab6b55af2223,Blue,Sivir,Annie,Zed,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001090051?gameHash=9aaefde3fdaf2f2c,Blue,Leblanc,Nidalee,Irelia,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001080064?gameHash=2cbe38094f0d00e3,Blue,Maokai,Nidalee,Nunu,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001080068?gameHash=86b3fe64916e9424,Blue,Hecarim,Morgana,Sion,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001080081?gameHash=98a968823226da0e,Blue,Zed,Nidalee,Lissandra,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001080093?gameHash=61f742f2d5f67b20,Blue,Maokai,Sejuani,RekSai,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001080103?gameHash=b2ef740c15462370,Blue,Kennen,RekSai,Sejuani,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001090098?gameHash=7f32b00eeb67d88a,Blue,Nidalee,Lissandra,Maokai,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001090100?gameHash=2b3115d7084d0981,Blue,Kalista,Sion,Ahri,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001090105?gameHash=bfad7537e1591dbb,Blue,Nunu,Hecarim,Sejuani,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001090113?gameHash=fe8ab7b253d94b5b,Blue,Zed,Annie,Leblanc,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001090119?gameHash=d9a1285e2cf77999,Blue,Hecarim,Sejuani,Vi,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001080179?gameHash=31030c79dfcbecd4,Blue,Rengar,Irelia,Sejuani,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001080182?gameHash=33c18a702d5155ad,Blue,Lulu,Nidalee,Zed,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001080201?gameHash=1ffd232009cc61a5,Blue,Nidalee,RekSai,Lulu,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001080211?gameHash=0abe526de3932809,Blue,Nidalee,Orianna,Leblanc,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001080217?gameHash=e16620c2576464f0,Blue,Karthus,Nidalee,LeeSin,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001080228?gameHash=390ff59be55613a0,Blue,Annie,Vladimir,Maokai,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001080232?gameHash=bbe4d9381900b70f,Blue,Lulu,Corki,Sejuani,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001190006?gameHash=2c537f1764b4fe87,Blue,Leblanc,Kalista,Hecarim,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001190028?gameHash=c85c4893ae61c2d9,Blue,,,,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001190040?gameHash=910d1678643730c4,Blue,Thresh,RekSai,JarvanIV,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001190046?gameHash=a5ac7b41ef215beb,Blue,Rumble,Kassadin,Kalista,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001190059?gameHash=1ae15002686d7962,Blue,Irelia,Leblanc,Kalista,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001180082?gameHash=3467cc1b2599a75d,Blue,Leblanc,Hecarim,Urgot,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001180093?gameHash=31b2113c09acb5a7,Blue,Leblanc,Gragas,Rumble,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001180104?gameHash=a48365f487fb1750,Blue,Maokai,Bard,Gragas,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001180113?gameHash=74539c15384418b4,Blue,Irelia,KogMaw,RekSai,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001180122?gameHash=55acf0acb737ca95,Blue,,,,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001200019?gameHash=de9772358b74ebeb,Blue,Leblanc,Sejuani,Alistar,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001200024?gameHash=525b0cebe7826c61,Blue,Hecarim,Alistar,Fizz,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001200033?gameHash=037bf9c7473334ac,Blue,Fizz,Yasuo,Alistar,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001200041?gameHash=fd70f3c7f0ef609b,Blue,Bard,Ryze,Alistar,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001200052?gameHash=777e678b521201b8,Blue,Evelynn,Nidalee,Thresh,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001200067?gameHash=b9e59980115f03d2,Blue,Alistar,Fizz,Yasuo,,
